broken_target,decision,destination,reason
https://defiliban.io/bitcoin-and-ethereum-etf-flows-jump-on-mar-18-as-btc-funds-add-2492-btc/,approve,https://defiliban.io/bitcoin-ethereum-etf-flows-mar-18-update/,"Live target title matches the broken target almost exactly."
https://defiliban.io/bitcoin-halving-cycle-points-to-reversal-in-2-months/,approve,https://defiliban.io/bitcoin-halving-reversal-2026/,"Live target title is the same article theme with a shorter slug."
https://defiliban.io/whale-0x049b-opens-40m-in-20x-btc-eth-shorts/,hold,,"Two live candidates are too close and point in different directions (shorts vs longs)."
https://defiliban.io/bybit-lists-blend-futures-key-details-market-impact-and-what-to-watch/,hold,,"Current best candidate points to a different Bybit futures story and is not safe enough."
https://defiliban.io/gemini-lawsuit-investors-allege-exchange-misled-market/,hold,,"No reliable live target was found from local crawl data."
https://defiliban.io/bitcoin-etf-flows-today-what-the-139-6m-outflow-means/,approve,https://defiliban.io/bitcoin-etf-flows-today-latest-outflow-analysis/,"Live target title is an exact title variant of the broken target."
https://defiliban.io/blackrock-withdraws-172-84m-btc-eth-coinbase/,approve,https://defiliban.io/blackrock-withdraws-btc-eth-from-coinbase-three-days/,"Live target title matches the same BlackRock/Coinbase withdrawal story."
https://defiliban.io/ark-invest-buys-circle-shares-stock-crash/,approve,https://defiliban.io/ark-invest-circle-shares-20-drop/,"Live target title matches the same Ark Invest/Circle shares drop story."
https://defiliban.io/based-on-binance-alpha-defi-liquidity-impact/,approve,https://defiliban.io/based-binance-alpha-listing/,"Canonical live page exists with the exact title; approved to the canonical instead of the duplicate variant."
https://defiliban.io/bitcoin-spot-etfs-see-159m-outflow-on-april-7-as-ethereum-etf-flows-stay-in-focus/,approve,https://defiliban.io/bitcoin-spot-etf-net-outflow-april-7-sosovalue/,"Exact live page exists for the April 7 outflow story; better than the automated candidate."
https://defiliban.io/fear-greed-index-for-btc-how-to-read-bitcoin-sentiment/,approve,https://defiliban.io/fear-greed-index-for-btc/,"Live target title matches exactly with a shorter slug."
https://defiliban.io/resolv-labs-hack-claim-what-we-know-about-the-reported-50m-usr-incident/,approve,https://defiliban.io/resolv-labs-hack-claim-50m-usr/,"Live target title matches the same Resolv Labs incident."
https://defiliban.io/visa-stablecoin-pilot-expands-nine-chains/,approve,https://defiliban.io/visa-expands-stablecoin-pilot-nine-chains-base-polygon-canton-tempo-arc/,"Live target title matches the same Visa nine-chain pilot story."
https://defiliban.io/paxos-labs-funding-round-brings-in-12-million/,hold,,"Automated candidate points to a different company and should not be auto-redirected."
https://defiliban.io/cz-on-terra-binances-3m-bet-recounted/,approve,https://defiliban.io/cz-autobiography-binance-terra-3m-investment/,"Live target title matches the same CZ/Terra $3M story."
https://defiliban.io/ether-etf-inflows-hit-record/,approve,https://defiliban.io/ether-etf-inflows-record-11-68-billion-187-million-weekly-inflow/,"Live target is the concrete record-inflow article and fits the broken target."
https://defiliban.io/bhutan-dumps-btc-arkham-on-chain/,hold,,"No reliable live target was found from local crawl data."
https://defiliban.io/qcp-capital-oil-shock-risk-off-mood-and-btcs-74k-rejection/,hold,,"No reliable live target was found from local crawl data."
https://defiliban.io/morgan-stanley-spot-bitcoin-etf-listing/,hold,,"Several Morgan Stanley ETF pages exist and need human choice; automated match to MSBT is too broad."
https://defiliban.io/us-bitcoin-spot-etfs-225m-net-outflow-march-27/,approve,https://defiliban.io/us-bitcoin-spot-etf-net-outflow-225-million-march-27/,"Live target title matches the same March 27 SoSoValue outflow story."
https://defiliban.io/spot-bitcoin-etf-records-net-outflow-march-24/,approve,https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026/,"Live target matches the same March 24 outflow story."
https://defiliban.io/bitcoin-etf-flows-today-what-139-6m-outflow-means/,approve,https://defiliban.io/bitcoin-etf-flows-today-latest-outflow-analysis/,"Live target title matches this shortened slug variant."
https://defiliban.io/morgan-stanley-bitcoin-etf-defi-wbtc/,approve,https://defiliban.io/morgan-stanley-msbt-bitcoin-etf/,"Live target title clearly covers the MSBT ETF and DeFi/wBTC angle."
https://defiliban.io/spot-bitcoin-etf-records-74-53m-net-outflow-on-march-24-2026/,approve,https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026/,"Live target title matches the same March 24 outflow story."
https://defiliban.io/bitcoin-etf-flows-today-111m-single-day-outflow/,approve,https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-1488-btc/,"Live target title is the same single-day outflow story with more specific metrics."
https://defiliban.io/ark-invest-circle-shares-stock-crash/,approve,https://defiliban.io/ark-invest-circle-shares-20-drop/,"Live target title matches the same Ark Invest/Circle shares drop story."
https://defiliban.io/blackrock-withdraws-172-84m-in-btc-and-eth-from-coinbase/,approve,https://defiliban.io/blackrock-withdraws-btc-eth-from-coinbase-three-days/,"Live target title matches the same BlackRock withdrawal story."
https://defiliban.io/bitcoin-etf-inflows-rebound-market-volatility/,approve,https://defiliban.io/bitcoin-etf-inflows-rebound/,"Live target title matches the same rebound-amid-volatility story."
